따르다,abide
우회하다,circumvent
이해하다,comprehend
개념화하다,conceptualize
구성하다,constitute
입증하다,corroborate
대항하다,counteract
비평하다,critique
명확히 묘사하다,delineate
나타내다,denote
고갈시키다,deplete
가치 하락하다,depreciate
구별하다,differentiate
분별하다,discern
전파하다,disseminate
분기하다,diverge
정교화하다,elaborate
이끌어내다,elicit
명확히 하다,elucidate
구현하다,embody
풍요롭게 하다,enrich
열거하다,enumerate
전형화하다,epitomize
예시하다,exemplify
발휘하다,exert
제작하다,fabricate
변동하다,fluctuate
형성하다,forge
육성하다,foster
지배하다,govern
방해하다,hinder
가설을 세우다,hypothesize
밝히다,illuminate
저해하다,impede
동기를 부여하다,incentivize
혁신하다,innovate
통합하다,integrate
정당화하다,justify
레버리지하다,leverage
완화하다,mitigate
부정하다,negate
중화하다,neutralize
최적화하다,optimize
극복하다,overcome
지속하다,persist
공리화하다,postulate
선행하다,precede
전제하다,presuppose
금지하다,prohibit
촉진하다,promote
합리화하다,rationalize
화해하다,reconcile
강화하다,reinforce
거부하다,reject
닮다,resemble
모의실험하다,simulate
대체하다,substitute
견디다,withstand
면밀히 조사하다,scrutinize
근절하다,eradicate
조작하다,manipulate
억압하다,suppress
증폭시키다,amplify
명확히 표현하다,articulate
주장하다,assert
강화하다,bolster
우회하다,bypass
특징짓다,characterize
명확히하다,clarify
강요하다,coerce
보완하다,complement
복잡하게 하다,complicate
통합하다,consolidate
깊이 생각하다,contemplate
모순되다,contradict
조율하다,coordinate
연관짓다,correlate
억제하다,curb
저하시키다,degrade
묘사하다,depict
감지하다,detect
결정하다,determine
줄어들다,diminish
방해하다,disrupt
지배하다,dominate
지지하다,endorse
시행하다,enforce
드러내다,expose
용이하게 하다,facilitate
공식화하다,formulate
부과하다,impose
유도하다,induce
추론하다,infer
억제하다,inhibit
시작하다,initiate
부추기다,instigate
고립시키다,isolate
최소화하다,minimize
동원하다,mobilize
감시하다,monitor
동기를 부여하다,motivate
무시하다,neglect
정상화하다,normalize
통지하다,notify
묘사하다,portray
예측하다,predict
추정하다,presume
규제하다,regulate
복원하다,reinstate
제한하다,restrict
유지하다,retain
드러내다,reveal
수정하다,revise
명시하다,specify
안정화하다,stabilize
자극하다,stimulate
상징하다,symbolize
초월하다,transcend
변환하다,transform
전송하다,transmit
활용하다,utilize
위반하다,violate
약화시키다,weaken
철회하다,withdraw
입증하다,substantiate
심화하다,deepen
범람하다,overwhelm
경감하다,alleviate
풍부하게하다,enrich
자격부여하다,entitle
위임하다,delegate
종합하다,synthesize
추상화하다,abstract
경계하다,beware
성찰하다,contemplate
서술하다,narrate
논증하다,argue
추적하다,trace
회의적으로 보다,doubt
단순화하다,simplify
계층화하다,stratify
재구성하다,reconstruct
분열시키다,fragment
억지로 하다,coerce
자기성찰,introspection
역설,paradox
이중성,duality
모순,contradiction
불확실성,uncertainty
취약성,vulnerability
복잡성,complexity
다양성,diversity
일관성,consistency
신뢰성,reliability
타당성,validity
효용성,utility
공정성,equity
투명성,transparency
정당성,legitimacy
지속가능성,sustainability
빈도,frequency
강도,intensity
비율,proportion
독창성,originality
보편성,universality
우연성,contingency
내재성,inherence
상호의존,interdependence
수렴,convergence
발산,divergence
인과성,causation
상관관계,correlation
편향,bias
가설,hypothesis
논거,argument
추상화,abstraction
일반화,generalization
귀납,induction
연역,deduction
오류,fallacy
진술,statement
근거,justification
종합,synthesis
패러다임,paradigm
계층,hierarchy
메커니즘,mechanism
현상,phenomenon
역설법,paradox
함의,implication
맥락,context
범주,category
관점,perspective
패턴,pattern
절차,procedure
상관관계,correlation
위계,hierarchy
통찰,insight
직관,intuition
동정,sympathy
모순,inconsistency
취약점,vulnerability
세계관,worldview
이데올로기,ideology
고정관념,stereotype
편견,prejudice
규범,norm
관습,convention
본능,instinct
충동,impulse
인식,cognition
행동주의,behaviorism
신경과학,neuroscience
인지과학,cognitive
생명공학,biotechnology
나노기술,nanotechnology
양자역학,quantum
우주탐사,exploration
기후변화,climate
생물다양성,biodiversity
재생에너지,renewable
탄소중립,carbon
사회계약,contract
공론장,sphere
시민사회,civil
법치주의,rule
사회운동,movement
집단기억,memory
문화정체성,identity
다문화주의,multiculturalism
세계시민,citizenship
사회적기업,enterprise
비판적사고,thinking
거시경제,macroeconomics
미시경제,microeconomics
인플레이션,inflation
디플레이션,deflation
경기침체,recession
독점,monopoly
자본주의,capitalism
사회주의,socialism
보호무역,protectionism
신자유주의,neoliberalism
수익성,profitability
이자율,rate
환율,exchange
증권,securities
채권,bond
자산,assets
부채,liability
민주주의,democracy
헌법,constitution
선거,election
의회,parliament
자유,freedom
개혁,reform
혁명,revolution
권위주의,authoritarianism
외교,diplomacy
안보,security
조약,treaty
주권,sovereignty
방법론,methodology
표본,sample
변수,variable
통계,statistics
반례,counterexample
검증,verification
반증,refutation
오류,error
귀납법,induction
연역법,deduction
비교분석,comparison
도덕,morality
덕목,virtue
의무,obligation
공리주의,utilitarianism
의무론,deontology
결정론,determinism
허무주의,nihilism
실존주의,existentialism
합리주의,rationalism
경험주의,empiricism
이원론,dualism
유물론,materialism
변증법,dialectic
윤리학,ethics
서사,narrative
비유,metaphor
상징,symbolism
모티프,motif
아이러니,irony
과장법,hyperbole
의인화,personification
복선,foreshadowing
반전,twist
서술자,narrator
장르,genre
낭만주의,romanticism
사실주의,realism
현대주의,modernism
탈현대주의,postmodernism
담론,discourse
수사학,rhetoric
함축,connotation
외연,denotation
음운론,phonology
통사론,syntax
의미론,semantics
언어변이,variation
이중언어,bilingual
선례,precedent
맹점,oversight
미묘함,nuance
경향,tendency
추세,trend
혁신가,innovator
선구자,pioneer
전문가,expert
학자,scholar
연구자,researcher
비평가,critic
명성,reputation
진실성,authenticity
응집력,cohesion
논문,thesis
패러독스,paradox
비전,vision
전략,strategy
리더십,leadership
협력,collaboration
거버넌스,governance
자원,resource
행위자,agent
제도,institution
포럼,forum
정서,sentiment
보완성,complementarity
네트워킹,networking
자본,capital
상대주의,relativism
왜곡,distortion
포퓰리즘,populism
민족주의,nationalism
전체주의,totalitarianism
근본주의,fundamentalism
현실주의,realism
구성주의,constructivism
경쟁력,competitiveness
효율성,efficiency
적응성,adaptability
창의성,creativity
유연성,flexibility
성장,growth
격차,gap
긴장,tension
세계화,globalization
도시화,urbanization
고령화,aging
난민,refugee
이민자,immigrant
제국주의,imperialism
헤게모니,hegemony
빈곤,poverty
전염병,epidemic
허위정보,misinformation
검열,censorship
저작권,copyright
표절,plagiarism
보존,conservation
온실,greenhouse
협약,accord
협상,negotiation
부족,shortage
돌파구,breakthrough
불균형,disparity
트레이드오프,tradeoff
반발,backlash
곤경,predicament
