버리다,abandon
비판적 이성,reason
도구적 이성,instrumental
의사소통 합리성,communicative
생활세계,lifeworld
체계,system
식민화,colonization
공론장 재봉건화,refeudalization
미디어 생태계,ecology
알고리즘 편향,bias
필터 버블,bubble
반향실 효과,chamber
탈진실,post
인포데믹,infodemic
디지털 리터러시,literacy
빅 테크,tech
감시 자본주의,capitalism
데이터 주권,sovereignty
인공지능 윤리,ethics
자동화 편향,bias
기술 가속주의,accelerationism
기후 정의,justice
생태적 전환,transition
탄소 민주주의,democracy
녹색 뉴딜,deal
기후 부채,debt
환경적 인종주의,racism
생태 근대주의,modernism
행성 한계,boundary
도넛 경제학,economics
순환 경제,circular
탈성장,degrowth
계몽주의,enlightenment
합리론,rationalism
경험론,empiricism
칸트 철학,Kantianism
헤겔 변증법,dialectic
마르크스주의,Marxism
프랑크푸르트학파,Frankfurt
현상학적 환원,reduction
에포케,epoche
지향성,intentionality
타자,other
얼굴,face
레비나스,Levinas
하이데거,Heidegger
메를로퐁티,phenomenology
시간성,temporality
사실성,facticity
피투성,thrownness
기투,projection
죽음을 향한 존재,being
불안,anxiety
양심,conscience
결단성,resoluteness
고독,solitude
실존적 자유,freedom
부조리,absurd
반항,revolt
시지프스,Sisyphus
타자의 시선,gaze
대자존재,itself
즉자존재,itself
자기기만,deception
상호인정,recognition
승인욕구,recognition
인정 투쟁,struggle
아노미,anomie
탈주술화,disenchantment
가치다원주의,pluralism
사실과 가치,value
베버 합리화,rationalization
관료제적 지배,domination
카리스마,charisma
전통적 지배,domination
합법적 지배,domination
이상형,ideal
사회학적 상상력,imagination
구조적 기능주의,functionalism
사회통합,integration
잠재적 기능,function
역기능,dysfunction
사회적 사실,fact
집합의식,conscience
기계적 연대,solidarity
유기적 연대,solidarity
사회화,socialization
사회계층,stratification
사회적 유동성,mobility
계급의식,consciousness
이데올로기 비판,critique
허위의식,consciousness
토대와 상부구조,superstructure
문화산업,industry
대중문화,culture
스펙터클,spectacle
일상생활 비판,critique
시뮬라크르,simulacrum
하이퍼리얼리티,hyperreality
기호 소비,consumption
포스트포디즘,postfordism
유연축적,accumulation
금융화,financialization
불평등,inequality
피케티,Piketty
세습자본주의,capitalism
지대추구,rent
독점지대,rent
플랫폼 독점,monopoly
네트워크 효과,effect
승자독식,winner
제로섬,zero
양의 외부효과,externality
음의 외부효과,externality
공공선택론,choice
규제포획,capture
정보의 비대칭,asymmetry
도덕적 해이,hazard
역선택,selection
신호보내기,signaling
리바이어던,Leviathan
사회계약론,contract
일반의지,will
시민불복종,disobedience
저항권,resistance
혁명권,revolution
연방주의,federalism
분권화,decentralization
보충성 원칙,subsidiarity
글로벌 거버넌스,governance
국제레짐,regime
패권안정론,stability
세력균형,balance
상호확증파괴,destruction
핵억지,deterrence
집단안보,security
인도적 개입,intervention
보호책임,responsibility
국제형사재판소,court
세계시민주의,cosmopolitanism
문명의 충돌,clash
민주평화론,peace
국제규범,norm
인권레짐,regime
개발협력,cooperation
원조효과성,effectiveness
남남협력,cooperation
지속가능발전목표,goals
초국적 기업,corporation
조세피난처,haven
자본도피,flight
부채함정,trap
구조적 조정,adjustment
신흥국,emerging
