사과,apple
아기,baby
손자,grandson
손녀,granddaughter
의사,doctor
간호사,nurse
경찰,police
운전사,driver
조종사,pilot
농부,farmer
예술가,artist
배우,actor
가수,singer
작가,writer
엔지니어,engineer
소방관,firefighter
요리사,chef
변호사,lawyer
왼쪽,left
오른쪽,right
앞,front
북쪽,north
남쪽,south
동쪽,east
서쪽,west
맑은,sunny
흐린,cloudy
바람 부는,windy
비가 오는,rainy
안개가 낀,foggy
테이블,table
소파,sofa
침대,bed
문,door
창문,window
바닥,floor
거울,mirror
컵,cup
접시,plate
숟가락,spoon
포크,fork
칼,knife
수건,towel
비누,soap
램프,lamp
시계,clock
열쇠,key
테니스,tennis
배구,volleyball
골프,golf
하이킹,hiking
캠핑,camping
낚시,fishing
복싱,boxing
스케이팅,skating
스키,skiing
태권도,taekwondo
사이클링,cycling
나라,country
세계,world
언어,language
사람,person
남자,man
여자,woman
어린이,child
팀,team
게임,game
축구,soccer
야구,baseball
농구,basketball
음악,music
노래,song
그림,picture
사진,photo
이야기,story
문제,problem
이름,name
전화,phone
컴퓨터,computer
날씨,weather
색깔,color
숫자,number
단어,word
인터넷,internet
이메일,email
메시지,message
영상,video
카메라,camera
화면,screen
키보드,keyboard
배터리,battery
꿈,dream
희망,hope
생각,idea
계획,plan
규칙,rule
소식,news
지도,map
표,ticket
상,prize
평화,peace
자유,freedom
진실,truth
행운,luck
기회,chance
