비정상적인,abnormal
증폭시키다,amplify
완화하다,mitigate
규제하다,regulate
강요하다,coerce
억제하다,inhibit
자극하다,stimulate
유도하다,induce
보조하다,subsidize
활성화하다,activate
선행하다,precede
뒤따르다,ensue
추론하다,deduce
고립시키다,isolate
위협하다,threaten
영속시키다,perpetuate
통합하다,consolidate
분산시키다,disperse
전파하다,propagate
감시하다,monitor
촉구하다,urge
증언하다,testify
비난하다,condemn
반대하다,oppose
수여하다,confer
침해하다,infringe
변환하다,transform
보완하다,supplement
수정하다,rectify
경쟁하다,compete
억압하다,oppress
해방하다,liberate
방해하다,obstruct
예측하다,predict
항해하다,navigate
제외하다,exclude
의존하다,depend
공식화하다,formulate
전략화하다,strategize
명시하다,specify
판단하다,judge
다루다,address
예측하다,forecast
조사하다,examine
승인하다,approve
설득하다,persuade
진화하다,evolve
유발하다,provoke
추론,reasoning
근거,rationale
증명,proof
틀,framework
기준점,benchmark
역학,dynamics
구성,composition
실행,implementation
장점,merit
기여,contribution
결과물,outcome
일관성,coherence
균형,equilibrium
역할,role
주기,cycle
단계,phase
영역,domain
분야,field
층,layer
수준,level
개요,overview
전경,foreground
토론,debate
논의,discussion
마찰,friction
파급효과,ripple
산출물,output
함의,implication
편차,deviation
기대,expectation
위험,risk
추진력,momentum
신뢰성,credibility
전문성,expertise
잠재력,potential
경계,boundary
범위,extent
특성,characteristic
발현,manifestation
관계,relationship
상호의존,interdependence
개혁,reform
전환,transition
변혁,transformation
이정표,milestone
탄력성,elasticity
회복력,resilience
상징성,symbolism
유사성,similarity
연속성,continuity
대칭성,symmetry
균일성,uniformity
회복,recovery
수렴,convergence
발산,divergence
인과관계,causality
비율,proportion
역수,inverse
증분,increment
모호한,ambiguous
포용적인,inclusive
지배적인,prevailing
예외적인,exceptional
합법적인,legitimate
내재적인,intrinsic
보편적인,universal
선구적인,pioneering
혁신적인,transformative
필수적인,indispensable
다면적인,multifaceted
상호적인,mutual
광범위한,widespread
일시적인,transient
지속적인,persistent
획기적인,groundbreaking
논쟁적인,controversial
사소한,trivial
복합적인,composite
자발적인,voluntary
의도적인,deliberate
암묵적인,implicit
명시적인,explicit
역동적인,dynamic
정체된,stagnant
비효율적인,inefficient
소외된,marginalized
급진적인,radical
혁명적인,revolutionary
불가분의,inseparable
복잡한,intricate
분산된,decentralized
유동적인,fluid
필수적인,imperative
심화되는,escalating
악화되는,deteriorating
선천적인,innate
후천적인,acquired
순차적인,sequential
순환적인,cyclical
자율적인,autonomous
집단적인,collective
상호 연관된,interrelated
긴급한,urgent
불가피한,inevitable
무관한,irrelevant
단편적인,fragmented
뜻깊은,meaningful
경쟁력,competitiveness
효율성,efficiency
적응성,adaptability
창의성,creativity
유연성,flexibility
탄력성,flexibility
성장,growth
격차,gap
긴장,tension
오염,contamination
세계화,globalization
다양화,diversification
분권화,decentralization
도시화,urbanization
민주화,democratization
산업화,industrialization
고령화,aging
난민,refugee
이민자,immigrant
제국주의,imperialism
식민지,colony
헤게모니,hegemony
권리,rights
자유,liberty
복지,welfare
재분배,redistribution
과세,taxation
빈곤,poverty
기근,famine
전염병,epidemic
의료,healthcare
허위정보,misinformation
선전,propaganda
검열,censorship
침해,intrusion
저작권,copyright
표절,plagiarism
비상사태,emergency
보존,conservation
재생가능한,renewable
핵,nuclear
온실,greenhouse
하수,sewage
중립,neutral
협약,accord
영구성,permanence
실현가능성,viability
협상,negotiation
해결,resolution
부족,shortage
이동성,mobility
돌파구,breakthrough
불균형,disparity
곤경,predicament
반발,backlash
트레이드오프,tradeoff
달성,achievement
반응,reaction
협력,collaboration
거버넌스,governance
자원,resource
고갈,depletion
행위자,agent
불화,discord
다자간,multilateral
제도,institution
포럼,forum
정서,sentiment
담론,discourse
계층,hierarchy
보완성,complementarity
지능,intelligence
네트워킹,networking
탄소발자국,footprint
자본,capital
조정,adjustment
상대주의,relativism
왜곡,distortion
행동적인,behavioral
집단사고,groupthink
확증편향,confirmation
선택,selection
순위,ranking
당파적인,partisan
포퓰리즘,populism
민족주의,nationalism
공동체주의,communitarianism
자유지상주의,libertarianism
복지주의,welfarism
권위주의,authoritarianism
전체주의,totalitarianism
무정부주의,anarchism
분리주의,separatism
근본주의,fundamentalism
현실주의,realism
관념론,idealism
구성주의,constructivism
방법론,methodology
표본,sample
변수,variable
통계,statistics
연구결과,finding
참고문헌,reference
반례,counterexample
검증,verification
반증,refutation
논거,argument
추상화,abstraction
일반화,generalization
귀납,induction
연역,deduction
오류,fallacy
진술,statement
주장,claim
논리,logic
종합,synthesis
해석,interpretation
비교,contrast
가설,hypothesis
논증,argumentation
함축,connotation
외연,denotation
타당성,validity
신뢰성,reliability
객관성,objectivity
주관성,subjectivity
인과성,causation
상관관계,correlation
편향,bias
투명성,transparency
책임성,accountability
공정성,equity
접근성,accessibility
포용성,inclusion
다양성,diversity
지속가능성,sustainability
회복탄력성,resilience
혁신,innovation
효과성,effectiveness
역량,capacity
성과,performance
위임,delegation
권한부여,empowerment
리더십,leadership
팀워크,teamwork
소통,communication
피드백,feedback
멘토링,mentoring
코칭,coaching
네트워크,network
플랫폼,platform
알고리즘,algorithm
자동화,automation
디지털화,digitalization
인공지능,intelligence
빅데이터,bigdata
사이버보안,cybersecurity
클라우드,cloud
블록체인,blockchain
암호화,encryption
개인정보,privacy
사회적자본,socialcapital
문화자본,culturalcapital
인적자본,humancapital
지적재산,intellectualproperty
공공재,publicgood
외부효과,externality
시장실패,marketfailure
정보비대칭,asymmetry
도덕적해이,hazard
역선택,adverseselection
규모의경제,economies
범위의경제,scope
비교우위,advantage
절대우위,absolute
기회비용,opportunity
매몰비용,sunk
한계비용,marginal
탄력성,elasticity
수요공급,supplydemand
균형가격,equilibrium
잉여,surplus
결핍,scarcity
희소성,scarcity
공유지의비극,commons
집단행동,collective
무임승차,freeriding
거래비용,transaction
주인-대리인,principal
정보경제학,economics
제도경제학,institutional
행동경제학,behavioral
진화경제학,evolutionary
지식경제,knowledge
창조경제,creative
순환경제,circular
공유경제,sharing
긱경제,gig
플랫폼경제,platform
인지과학,cognitive
신경과학,neuroscience
생명공학,biotechnology
나노기술,nanotechnology
양자컴퓨팅,quantum
우주탐사,exploration
기후변화,climate
생물다양성,biodiversity
재생에너지,renewable
탄소중립,carbon
사회계약,contract
공론장,sphere
시민사회,civil
법치주의,rule
사회운동,movement
집단기억,memory
문화정체성,identity
다문화주의,multiculturalism
세계시민,citizenship
인권,humanrights
발전권,development
환경권,environment
사회적기업,enterprise
사회혁신,socialinnovation
비판적사고,thinking
창의적문제해결,problemsolving
