버리다,abandon
온난화,warming
태양에너지,solar
수소,hydrogen
원자력,atomic
오존,ozone
생분해,biodegradable
탄소발자국,footprint
생태학,ecology
진화론,evolution
생화학,biochemistry
물리학,physics
화학,chemistry
천체물리학,astrophysics
지구과학,geoscience
분광학,spectroscopy
광학,optics
음향학,acoustics
전기화학,electrochemistry
신경과학,neuroscience
인지적인,cognitive
기능성,functionality
면역학,immunology
진단학,diagnostics
약학,pharmacy
영양학,nutrition
생리학,physiology
해부학,anatomy
서사,narrative
비유,metaphor
상징,symbolism
모티프,motif
등장인물,protagonist
이야기,plot
배경,setting
산문,prose
운율,rhythm
각운,rhyme
아이러니,irony
역설법,paradox
반어법,sarcasm
과장법,hyperbole
의인화,personification
복선,foreshadowing
클라이맥스,climax
반전,twist
인물,character
서술자,narrator
시점,viewpoint
장르,genre
고전주의,classicism
낭만주의,romanticism
사실주의,realism
현대주의,modernism
탈현대주의,postmodernism
비평,critique
비유법,analogy
담론,discourse
도덕,morality
덕목,virtue
의무,obligation
공리,axiom
형이상학,metaphysics
인식론,epistemology
존재론,ontology
공리주의,utilitarianism
의무론,deontology
자유의지,willpower
결정론,determinism
허무주의,nihilism
실존주의,existentialism
합리주의,rationalism
경험주의,empiricism
이원론,dualism
유물론,materialism
관념론,idealism
변증법,dialectic
윤리학,ethics
거시경제,macroeconomics
미시경제,microeconomics
인플레이션,inflation
디플레이션,deflation
경기침체,recession
확장,expansion
불황,depression
거품,bubble
독점,monopoly
과점,oligopoly
자본주의,capitalism
사회주의,socialism
공산주의,communism
보호무역,protectionism
신자유주의,neoliberalism
자원배분,allocation
수익성,profitability
국채,debt
이자율,rate
환율,exchange
증권,securities
채권,bond
부동산,property
자산,assets
부채,liability
심리,psychology
동기부여,motivation
기억력,memory
주의집중,attention
지각,perception
강화,reinforcement
조건반사,reflex
망각,oblivion
공황,panic
트라우마,trauma
회복탄력성,resilience
자기효능감,efficacy
지혜,wisdom
사회화,socialization
동조,conformity
이탈,deviance
자존감,esteem
귀인,attribution
인지부조화,dissonance
집단역학,dynamics
소통,communication
공포증,phobia
자기기만,denial
방어,defense
오해,misconception
서술,narration
수사학,rhetoric
논증,argumentation
함축,connotation
외연,denotation
언어습득,acquisition
표준화,standardization
구어,vernacular
문어체,formal
구어체,informal
전문용어,terminology
말뜻,definition
번역학,localization
음운론,phonology
형태론,morphology
통사론,syntax
의미론,semantics
담화,conversation
언어변이,variation
이중언어,bilingual
선례,precedent
불일치,inconsistency
맹점,oversight
미묘함,nuance
의의,significance
경향,tendency
추세,trend
흐름,current
멘토,mentor
지도자,leader
구성원,member
협력자,collaborator
이해관계자,stakeholder
혁신가,innovator
선구자,pioneer
전문가,expert
학자,scholar
연구자,researcher
비평가,critic
명성,reputation
진실성,authenticity
응집력,cohesion
논문,thesis
문헌,literature
패러독스,paradox
혁신,innovation
비전,vision
전략,strategy
리더십,leadership
팀워크,teamwork
