일탈,aberration
모회사,parent
주주,shareholder
이사회,board
주주총회,assembly
경영진,management
최고경영자,CEO
이사,director
직책,designation
재임,tenure
임기,term
출장,business
출장비,allowance
경비처리,reimbursement
교통비,transportation
숙박비,accommodation
일비,subsistence
영수증처리,expense
예약확인서,confirmation
탑승권,boarding
도착지,destination
호텔,hotel
숙박,lodging
체크아웃,checkout
연장투숙,extension
객실,room
예약취소,cancellation
위약금,penalty
환불정책,refund
약관,terms
사용자,user
계정,account
등록,registration
구독,subscription
갱신,renewal
해지,termination
만족도,satisfaction
불편사항,complaint
고객서비스,customer
피드백요청,feedback
설문,survey
평가항목,criteria
점수,score
등급,rating
리뷰,review
개선사항,improvement
시정조치,corrective
후속조치,follow
진행상황,progress
완료율,completion
납기일,due
기한,deadline
승인절차,approval
결재,authorization
품의,proposal
검토의견,comment
수정사항,revision
최종본,final
배포,circulation
공람,distribution
공유,sharing
접속,login
로그아웃,logout
네트워크접속,connectivity
시스템오류,error
복구,recovery
업무시스템,workflow
자동화,automation
디지털전환,transformation
클라우드,cloud
보안,security
데이터,data
암호화,encryption
접근권한,permission
백서,whitepaper
연차보고서,annual
분기보고서,quarterly
손익계산서,income
대차대조표,balance
현금흐름표,cashflow
감사보고서,audit
원가절감,reduction
비용분석,analysis
ROI,return
KPI,indicator
성과지표,metric
목표달성,achievement
전략기획,planning
시장조사,research
경쟁분석,competitive
SWOT분석,SWOT
포지셔닝,positioning
브랜딩,branding
홍보,publicity
미디어,media
보도,coverage
기자회견,press
인터뷰,interview
